ch_0 ch_1 ch_2 ch_3 ch_4 ch_5 ch_6 ch_7 
 -1 255 0 22 -1 35 -1 -1
 -1 255 0 15 -1 24 -1 -1
 -1 255 0 13 -1 20 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
 -1 255 0 13 -1 19 -1 -1
